Name,url,team
Rúnar Alex Rúnarsson,/fr/player/222562/r%C3%BAnar-alex-r%C3%BAnarsson/,Dijon FCO
Rafał Kurzawa,/fr/player/221791/rafa%C5%82-kurzawa/,Amiens SC
Olivier Kemen,/fr/player/220175/olivier-kemen/,OL
Ludovic Ajorque,/fr/player/219733/ludovic-ajorque/,RC Strasbourg
Abdallah Ndour,/fr/player/215383/abdallah-ndour/,RC Strasbourg
Facundo Píriz,/fr/player/213325/facundo-p%C3%ADriz/,Montpellier HSC
Idriss Saadi,/fr/player/197480/idriss-saadi/,RC Strasbourg
Abdoulaye Diallo,/fr/player/197233/abdoulaye-diallo/,Stade Rennais
Yeni Ngbakoto,/fr/player/192938/yeni-ngbakoto/,EA Guingamp
Emmanuel Imorou,/fr/player/188824/emmanuel-imorou/,SM Caen
Arnold Bouka Moutou,/fr/player/184935/arnold-bouka-moutou/,Dijon FCO
Denis Petrić,/fr/player/184781/denis-petri%C4%87/,EA Guingamp
John Bostock,/fr/player/184387/john-bostock/,Toulouse FC
Prince Oniangué,/fr/player/183453/prince-oniangu%C3%A9/,SM Caen
Cheikh M'Bengue,/fr/player/183395/cheikh-mbengue/,ASSE
Florent Balmont,/fr/player/52126/florent-balmont/,Dijon FCO
Mathieu Bodmer,/fr/player/51123/mathieu-bodmer/,Amiens SC
Toma Bašić,/fr/player/245275/toma-ba%C5%A1i%C4%87/,Girondins de BX
Timothy Weah,/fr/player/241496/timothy-weah/,Paris
Ignatius Ganago,/fr/player/241130/ignatius-ganago/,OGC Nice
Jan Repas,/fr/player/240802/jan-repas/,SM Caen
Zaydou Youssouf,/fr/player/236830/zaydou-youssouf/,Girondins de BX
Fodé Ballo-Touré,/fr/player/236723/fod%C3%A9-ballo-tour%C3%A9/,LOSC
Rémi Oudin,/fr/player/233265/r%C3%A9mi-oudin/,Stade de Reims
Jean-Victor Makengo,/fr/player/230686/jean-victor-makengo/,OGC Nice
Sergi Palencia,/fr/player/228321/sergi-palencia/,Girondins de BX
Quentin Cornette,/fr/player/225584/quentin-cornette/,Amiens SC
Aaron Leya Iseka,/fr/player/223929/aaron-leya-iseka/,Toulouse FC
